capture_id,source,captured_at_ms
capture-01,text,0
capture-02,rotated,600000
capture-03,no_text,1200000
capture-04,single_color,1800000
capture-05,low_contrast,2400000
capture-06,qr,3000000
capture-07,text,3600000
capture-08,rotated,4200000
capture-09,no_text,4800000
capture-10,single_color,5400000
capture-11,low_contrast,6000000
capture-12,qr,6600000
capture-13,text,7200000
capture-14,rotated,7800000
capture-15,no_text,8400000
capture-16,single_color,9000000
capture-17,low_contrast,9600000
capture-18,qr,10200000
capture-19,text,10800000
capture-20,rotated,11400000
capture-21,no_text,12000000
capture-22,single_color,12600000
capture-23,low_contrast,13200000
capture-24,qr,13800000
